date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2004-04-30,20040767,"BSW Holdings, Inc.",Electronic Data Systems Corporation,UGS PLM Solutions Inc.,"20040767: BSW Holdings, Inc.; Electronic Data Systems Corporation"
2004-04-22,20040734,"NORPAC Foods, Inc.",J. R. Simplot Company,J.R. Simplot Company,"20040734: NORPAC Foods, Inc.; J. R. Simplot Company"
2004-04-16,20040724,"U.S. Equity Partners II (U.S. Parallel), L.P.","Yamanouchi Pharmaceutical Co., Ltd.",Bear Creek Corporation,"20040724: U.S. Equity Partners II (U.S. Parallel), L.P.; Yamanouchi Pharmaceutical Co., Ltd."
2004-04-30,20040765,JPMorgan Chase & Co.,Nathan Kirsh,"Jetro JMDH Holdings, Inc.",20040765: JPMorgan Chase & Co.; Nathan Kirsh
2004-04-22,20040730,Vorwerk & Co. KG,"Clayton, Dubilier & Rice Fund V Limited Partnership",CDRJ North Atlantic (Lux) S.a.r.L.,"20040730: Vorwerk & Co. KG; Clayton, Dubilier & Rice Fund V Limited Partnership"
2004-04-16,20040723,The First American Corporation,The First American Corporation,"First American Real Estate Solutions, L.P.",20040723: The First American Corporation; The First American Corporation
2004-04-30,20040759,"Thoma Cressey Fund VII, L.P.","Web Clients, Inc.","Web Clients, Inc.","20040759: Thoma Cressey Fund VII, L.P.; Web Clients, Inc."
2004-04-22,20040700,"Carlson Holdings, Inc.",W. Stephen Maritz,"TQ3 Travel Solutions Americas, L.L.C.","20040700: Carlson Holdings, Inc.; W. Stephen Maritz"
2004-04-16,20040722,"Sybase, Inc.","Francisco Partners, L.P.","XcelleNet, Inc.","20040722: Sybase, Inc.; Francisco Partners, L.P."
2004-04-29,20040509,Connors Bros. Income Fund,"Centre Capital Investors III, L.P.",Bumble Bee LLC,"20040509: Connors Bros. Income Fund; Centre Capital Investors III, L.P."
2004-04-22,20040699,Accor S.A.,W. Stephen Maritz,"TQ3 Travel Solutions Americas, L.L.C.",20040699: Accor S.A.; W. Stephen Maritz
2004-04-16,20040720,Schneider Electric SA,Solectron Corporation,Kavlico Corporation,20040720: Schneider Electric SA; Solectron Corporation
2004-04-28,20040747,Bank One Corporation,Marc Ladreit de Lacharriere,LBC S.A.,20040747: Bank One Corporation; Marc Ladreit de Lacharriere
2004-04-22,20040657,Allegheny Technologies Incorporated,Arcelor S.A.,"J&L Specialty Steel, LLC",20040657: Allegheny Technologies Incorporated; Arcelor S.A.
2004-04-16,20040718,Suddeutsche Zuckerrubenverwertungs-Genossenschaft,FCPR France Private Equity II,Financiere Atys S.A.,20040718: Suddeutsche Zuckerrubenverwertungs-Genossenschaft; FCPR France Private Equity II
2004-04-26,20040763,"Nautic Partners V, L.P.","Flavor & Fragrance Group Holdings, Inc.","Flavor & Fragrance Group Holdings, Inc.","20040763: Nautic Partners V, L.P.; Flavor & Fragrance Group Holdings, Inc."
2004-04-21,20040727,Molecular Devices Corporation,"Axon Instruments, Inc.","Axon Instruments, Inc.","20040727: Molecular Devices Corporation; Axon Instruments, Inc."
2004-04-15,20040712,AAH Holdings Corporation,"Amscan Holdings, Inc.","Amscan Holdings, Inc.","20040712: AAH Holdings Corporation; Amscan Holdings, Inc."
2004-05-11,20040837,"MacDonald, Dettwiler and Associates Ltd.","Marshall & Swift Holdings, LLC","Marshall & Swift, L.P.; Marshall & Swift/Boeckh Company (Canada)","20040837: MacDonald, Dettwiler and Associates Ltd.; Marshall & Swift Holdings, LLC"
2004-05-07,20040812,Ormat Industries Ltd.,"Constellation Energy Group, Inc.","CE Puna I, Inc.; CE Puna II, Inc.; CE Puna Limited Partnership; Puna Geothermal Venture","20040812: Ormat Industries Ltd.; Constellation Energy Group, Inc."
2004-05-05,20040797,Pitney Bowes Inc.,"Group 1 Software, Inc.","Group 1 Software, Inc.","20040797: Pitney Bowes Inc.; Group 1 Software, Inc."
2004-05-11,20040833,Fair Isaac Corporation,London Bridge Software Holdings plc,London Bridge Software Holdings plc,20040833: Fair Isaac Corporation; London Bridge Software Holdings plc
2004-05-07,20040811,"Bruckmann, Rosser, Sherrill & Co. II, L.P.",Prudential plc,"LD Holdings, Inc.","20040811: Bruckmann, Rosser, Sherrill & Co. II, L.P.; Prudential plc"
2004-05-05,20040784,Occum Acquisition Corp.,Safeco Corporation,"American States Life Insurance Company; Employee Benefits Consultants, Inc.; First Safeco National Life Insurance Company of New York; Safeco Administrative Services, Inc.; Safeco Asset Management Company; Safeco Assigned Benefits Service Company; Safeco Life Insurance Company; Safeco National Life Insurance Company; Safeco Securities, Inc.; Safeco Services Corporation; Wisconsin Pension and Group Services, Inc.",20040784: Occum Acquisition Corp.; Safeco Corporation
2004-05-17,20040774,BioMarin Pharmaceutical Inc.,Medicis Pharmaceutical Corporation,"Ascent Pediatrics, Inc.",20040774: BioMarin Pharmaceutical Inc.; Medicis Pharmaceutical Corporation
2004-05-11,20040831,"Charterhouse Equity Partners IV, L.P.","Washington & Congress Capital Partners, L.P.","LogistiCare, Inc.","20040831: Charterhouse Equity Partners IV, L.P.; Washington & Congress Capital Partners, L.P."
2004-05-07,20040808,Sumner M. Redstone,"Midway Games, Inc.","Midway Games, Inc.","20040808: Sumner M. Redstone; Midway Games, Inc."
2004-05-05,20040740,Amgen Inc.,Tularik Inc.,Tularik Inc.,20040740: Amgen Inc.; Tularik Inc.
2004-05-14,20040853,"Cortec Group Fund III, L.P.","Linsalata Capital Partners Fund III, L.P.",Fasteners Holding Company,"20040853: Cortec Group Fund III, L.P.; Linsalata Capital Partners Fund III, L.P."
2004-05-11,20040822,The Lubrizol Corporation,"Noveon International, Inc.","Noveon International, Inc.","20040822: The Lubrizol Corporation; Noveon International, Inc."
2004-05-07,20040806,Kerr-McGee Corporation,Westport Resources Corporation,Westport Resources Corporation,20040806: Kerr-McGee Corporation; Westport Resources Corporation
2004-04-30,20040792,SR. Teleperformance,Newco,Newco,20040792: SR. Teleperformance; Newco
2004-05-14,20040848,General Electric Company,"Apollo Investment Fund III, L.P.",WMC Finance Co.,"20040848: General Electric Company; Apollo Investment Fund III, L.P."
2004-05-11,20040817,Hub International Limited,Safeco Corporation,Talbot Financial Corporation,20040817: Hub International Limited; Safeco Corporation
2004-05-07,20040803,"JAKKS  Pacific, Inc.",Play Along (Hong Kong) Ltd.,Play Along (Hong Kong) Ltd.,"20040803: JAKKS Pacific, Inc.; Play Along (Hong Kong) Ltd."
2004-05-14,20040847,LHP Holding Corp.,"Leiner Health Products, Inc.","Leiner Health Products, Inc.","20040847: LHP Holding Corp.; Leiner Health Products, Inc."
2004-05-11,20040816,Stephen L. LaFrance and Linda LaFrance,"May's Drug Stores, Inc.","May's Drug Stores, Inc.","20040816: Stephen L. LaFrance and Linda LaFrance; May's Drug Stores, Inc."
2004-05-07,20040800,International Paper Company,Dennis Mehiel,"Box USA Holdings, Inc.",20040800: International Paper Company; Dennis Mehiel
2004-05-14,20040846,"CCG Investment Fund, L.P.",LHP Holding Corp.,LHP Holding Corp.,"20040846: CCG Investment Fund, L.P.; LHP Holding Corp."
2004-05-11,20040815,Teledyne Technologies Incorporated,"Isco, Inc.","Isco, Inc.","20040815: Teledyne Technologies Incorporated; Isco, Inc."
2004-05-07,20040795,"Welsh, Carson, Anderson & Stowe IX, L.P.","U.S. Oncology, Inc.","U.S. Oncology, Inc.","20040795: Welsh, Carson, Anderson & Stowe IX, L.P.; U.S. Oncology, Inc."
2004-05-14,20040844,Jarden Corporation,"Bicycle Holding, Inc.","Bicycle Holding, Inc.","20040844: Jarden Corporation; Bicycle Holding, Inc."
2004-05-11,20040807,Albemarle Corporation,Akzo Nobel NV,Akzo Nobel Catalysts LLC,20040807: Albemarle Corporation; Akzo Nobel NV
2004-05-07,20040794,"Welsh, Carson, Anderson & Stowe IX, L.P. (""WCAS IX)","U.S. Oncology Holdings, Inc.","U.S. Oncology Holdings, Inc.","20040794: Welsh, Carson, Anderson & Stowe IX, L.P. (""WCAS IX); U.S. Oncology Holdings, Inc."
2004-05-14,20040842,"The Home Depot, Inc.","Green Equity Investors III, L.P.","White Cap Industries, Inc.","20040842: The Home Depot, Inc.; Green Equity Investors III, L.P."
2004-05-11,20040782,"ABRY Partners IV, L.P.",Providence Equity Partners III L.P.,"Language Line Holdings, Inc.","20040782: ABRY Partners IV, L.P.; Providence Equity Partners III L.P."
2004-05-07,20040789,United Technologies Corporation,Automated Logic Corporation,Automated Logic Corporation,20040789: United Technologies Corporation; Automated Logic Corporation
2004-05-14,20040839,"Molina Healthcare, Inc.",Gerald W. Landgraf,"Health Care Horizons, Inc.","20040839: Molina Healthcare, Inc.; Gerald W. Landgraf"
2004-05-07,20040835,CompuCredit Corporation,"First American Management, Inc.","FACA of Arkansas, LLC; First American Cash Advance of Alabama, LLC; First American Cash Advance of Colorado, LLC; First American Cash Advance of Florida, LLC; First American Cash Advance of Oklahoma, LLC; First American Cash Advance of South Carolina, LLC; First American Cash Advance of Tennessee, LLC; First American Financial Services, LLC; First American Franchising, LLC; First American Holding, LLC; Foresight Management Company, LLC; Union Management Company, LLC; United Services, Inc.","20040835: CompuCredit Corporation; First American Management, Inc."
2004-05-07,20040783,"Genstar Capital Partners III, L.P.",Gregory Block,"American Pacific Enterprises, LLC","20040783: Genstar Capital Partners III, L.P.; Gregory Block"
2004-05-28,20040756,CVS Corporation,"J.C. Penney Company, Inc.","E.T.B., Inc.; Eckerd Corporation; Eckerd Corporation of Florida, Inc.; Eckerd Fleet, Inc.; Genovese Drug Stores, Inc.; Genplus Managed Care, Inc.; JEC Facilities Funding II, Inc.; JEC Funding, Inc.; TDI Managed Care Services, Inc.; Thrift Drug, Inc.","20040756: CVS Corporation; J.C. Penney Company, Inc."
2004-05-24,20040877,The Wine Group LLC,"Golden State Vintners, Inc.","Golden State Vintners, Inc.","20040877: The Wine Group LLC; Golden State Vintners, Inc."
2004-05-17,20040809,IDEX Corporation,"Scivex, Inc.","Scivex, Inc.","20040809: IDEX Corporation; Scivex, Inc."
2004-06-04,20040908,Siemens Aktiengesellschaft,Veolia Environnement S.A.,USF Holdings Inc.,20040908: Siemens Aktiengesellschaft; Veolia Environnement S.A.
2004-05-25,20040901,"Capital Z Financial Services Fund II, L.P.",Ingram Industries Inc.,"Permanent General Assurance Corporation of Ohio; Permanent General Companies, Inc.","20040901: Capital Z Financial Services Fund II, L.P.; Ingram Industries Inc."
2004-05-24,20040873,"BMC Software, Inc.","Marimba, Inc.","Marimba, Inc.","20040873: BMC Software, Inc.; Marimba, Inc."
2004-06-04,20030837,"Itron, Inc.",Schlumberger Limited,"Schlumberger Electricity, Inc.; Waisin Schlumberger Electricity Measurement Corporation","20030837: Itron, Inc.; Schlumberger Limited"
2004-05-25,20040890,"John C. Malone, c/o Liberty Media Corporation",Liberty Media Corporation,Liberty Media Corporation,"20040890: John C. Malone, c/o Liberty Media Corporation; Liberty Media Corporation"
2004-05-24,20040866,V. F. Corporation,"Vans, Inc.","Vans, Inc.","20040866: V. F. Corporation; Vans, Inc."
2004-06-03,20040936,Thomson S.A.,"The DIRECTV Group, Inc.","Hughes Network Systems, Inc.","20040936: Thomson S.A.; The DIRECTV Group, Inc."
2004-05-25,20040880,NKT Holding A/S,The Estate After Incentive A/S,ALTO International A/S,20040880: NKT Holding A/S; The Estate After Incentive A/S
2004-05-24,20040858,"R2 Investments, LDC","i2 Technologies, Inc.","i2 Technologies, Inc.","20040858: R2 Investments, LDC; i2 Technologies, Inc."
2004-06-01,20040937,KKR Millennium Fund L.P.,"The DIRECTV Group, Inc.",PanAmSat Corporation,"20040937: KKR Millennium Fund L.P.; The DIRECTV Group, Inc."
