date,transaction_number,acquiring_party,acquired_party,acquired_entities,title
2004-03-30,20040620,Michael A.J. Farrell,"Annaly Mortgage Management, Inc.","Annaly Mortgage Management, Inc.","20040620: Michael A.J. Farrell; Annaly Mortgage Management, Inc."
2004-03-26,20040561,Mayne Group Limited,AAIPharma Inc.,"aaiPharma LLC and AAI Properties, Inc.",20040561: Mayne Group Limited; AAIPharma Inc.
2004-04-06,20040676,"Ares Corporate Opportunities Fund, L.P.","Maidenform, Inc.","Maidenform, Inc.","20040676: Ares Corporate Opportunities Fund, L.P.; Maidenform, Inc."
2004-03-30,20040578,"Arch Chemicals, Inc.",Avecia (Jersey) Limited,Avecia Inc.; Avecia Investments Limited; Splashes Inc.,"20040578: Arch Chemicals, Inc.; Avecia (Jersey) Limited"
2004-03-26,20040448,"Dental Service of Massachusetts, Inc.","MOA Investments, LLC","Doral Dental USA, LLC","20040448: Dental Service of Massachusetts, Inc.; MOA Investments, LLC"
2004-04-06,20040674,Macquarie Bank Limited,Exelon Corporation,"ETT Nevada, Inc.; Thermal Chicago Corporation",20040674: Macquarie Bank Limited; Exelon Corporation
2004-03-29,20040648,Corvis Corporation,Focal Communications Corporation,Focal Communications Corporation,20040648: Corvis Corporation; Focal Communications Corporation
2004-03-24,20040582,"Gryphon Partners II, L.P.",Jack C. Priegel,Autotronic Controls Corporation,"20040582: Gryphon Partners II, L.P.; Jack C. Priegel"
2004-04-06,20040673,"Gryphon Partners II, L.P.",Nursefinders Acquisition Corp.,Nursefinders Acquisition Corp.,"20040673: Gryphon Partners II, L.P.; Nursefinders Acquisition Corp."
2004-03-29,20040647,The Gillette Company,Den-Mat Corporation,Den-Mat Corporation,20040647: The Gillette Company; Den-Mat Corporation
2004-03-23,20040627,International Business Machines Corp.,"Trigo Technologies, Inc.","Trigo Technologies, Inc.","20040627: International Business Machines Corp.; Trigo Technologies, Inc."
2004-04-06,20040671,Cerberus ABP Investor LLC,Georgia-Pacific Corporation,Georgia-Pacific Corporation,20040671: Cerberus ABP Investor LLC; Georgia-Pacific Corporation
